section_links
&rlm;[[:Athlon]]&rlm; (hu)	Athlon
[[:קיף קרוקר]] (cs en ru)	קיף קרוקר
[[:שינל]] (de)	שינל
[[:היסטוריה של תימן]] (bn)	היסטוריה של תימן
[[:בריגנטיה]] (it)	בריגנטיה
[[:סירונה]] (ca)	סירונה
[[:מחוזות אלבניה]] (simple)	מחוזות אלבניה
[[:שארית סופרנובה]] (ja)	שארית סופרנובה
[[:שושלת האן המערבית]] (en)	שושלת האן המערבית
[[:נייטקרולר]] (de)	נייטקרולר
&rlm;[[:FPGA]]&rlm; (fr)	FPGA
[[:תאוריית שליטת השער בכאב]] (en)	תאוריית שליטת השער בכאב
[[:ביטוי משוכל]] (hu)	ביטוי משוכל
[[:דלקת סימפונות חריפה]] (fr)	דלקת סימפונות חריפה
[[:השעון האסטרונומי בשטרסבורג]] (de)	השעון האסטרונומי בשטרסבורג
[[:שושלת האן המזרחית]] (en)	שושלת האן המזרחית
[[:יהודי בלמונטה]] (pt)	יהודי בלמונטה
[[:ברק]] (sv)	ברק
[[:דלקת סימפונות כרונית]] (fr)	דלקת סימפונות כרונית
[[:אריתרופויזה]] (ru)	אריתרופויזה
[[:מחוזות נורבגיה]] (ru zh)	מחוזות נורבגיה
[[:וינדונוס]] (en)	וינדונוס
[[:נאזגול]] (de simple)	נאזגול
[[:חלוקת פולין]] (be)	חלוקת פולין
[[:לולאת הנלה]] (fr)	לולאת הנלה
[[:האבובית המרוחקת]] (fr)	האבובית המרוחקת
[[:נוימן]] (de)	נוימן
&rlm;[[:Received Pronunciation]]&rlm; (de)	Received Pronunciation
[[:מגדל מנהטן]] (en)	מגדל מנהטן
[[:טכנופוביה]] (de)	טכנופוביה
[[:קנו (עיר)]] (ha)	קנו (עיר)
[[:תגובה אלמנטרית]] (ja)	תגובה אלמנטרית
[[:משוואת קצב]] (cy)	משוואת קצב
[[:ארמית חדשה]] (es)	ארמית חדשה
[[:מחוזות בורונדי]] (hu)	מחוזות בורונדי
&rlm;[[:VLSI]]&rlm; (ru)	VLSI
[[:מחוזות מדגסקר]] (de)	מחוזות מדגסקר
[[:לות'לוריין]] (de la)	לות'לוריין
[[:נקע (הנדסה)]] (ar)	נקע (הנדסה)
[[:קונבולוציית דיריכלה]] (de)	קונבולוציית דיריכלה
[[:מחוזות סומליה]] (simple)	מחוזות סומליה
[[:סגנון גותי לוהב]] (fr ja)	סגנון גותי לוהב
[[:אמירויות איחוד האמירויות הערביות]] (en)	אמירויות איחוד האמירויות הערביות
[[:פלנקס (מערכת נשק)]] (sv)	פלנקס (מערכת נשק)
&rlm;[[:ﻯ]]&rlm; (en ja)	ﻯ
[[:תניס חצי-אלף]] (en)	תניס חצי-אלף
[[:סיווג ספקטרלי]] (ro)	סיווג ספקטרלי
&rlm;[[:XNOR לוגי]]&rlm; (es it)	XNOR לוגי
[[:אלגוריתם תזמון]] (ja)	אלגוריתם תזמון
[[:הנסיך הפרסי]] (de)	הנסיך הפרסי
[[:משחק קמור]] (en)	משחק קמור
[[:נטיית מסלול]] (ru)	נטיית מסלול
[[:יוליסס - מבנה הספר והעלילה]] (en)	יוליסס - מבנה הספר והעלילה
[[:תחרות מונופוליסטית]] (ja)	תחרות מונופוליסטית
[[:סמל סקסוניה התחתונה]] (de)	סמל סקסוניה התחתונה
[[:סיכת ביטחון]] (de)	סיכת ביטחון
[[:הדוקטור]] (de)	הדוקטור
[[:ספר חשבונות]] (de)	ספר חשבונות
[[:פרס סמי רוהר]] (en)	פרס סמי רוהר
[[:סבון משומן אדם במלחמת העולם השנייה]] (pl)	סבון משומן אדם במלחמת העולם השנייה
[[:מחוזות נאורו]] (en)	מחוזות נאורו
[[:מחוזות טונגה]] (ru)	מחוזות טונגה
[[:מחוזות סמואה]] (ru)	מחוזות סמואה
[[:ליבת יותרת הכליה]] (de)	ליבת יותרת הכליה
[[:הספרייה הלאומית המרכזית פירנצה]] (de)	הספרייה הלאומית המרכזית פירנצה
[[:מחוזות דומיניקה]] (ast de gl hu no)	מחוזות דומיניקה
[[:יוריי]] (uk)	יוריי
[[:מחוזות טרינידד וטובגו]] (de)	מחוזות טרינידד וטובגו
&rlm;[[:גביע אוקיאניה לאומות 2008]]&rlm; (pl)	גביע אוקיאניה לאומות 2008
[[:מגדל איילון]] (en)	מגדל איילון
[[:שיטת ויקרס]] (de)	שיטת ויקרס
[[:פוליטיקה של אוסטריה]] (bn)	פוליטיקה של אוסטריה
[[:מחוזות איי ברמודה]] (en)	מחוזות איי ברמודה
[[:טורנגה לילה]] (cs)	טורנגה לילה
[[:קטש]] (ca)	קטש
[[:האקדמיה המלכותית למוזיקה (פריז)]] (fr)	האקדמיה המלכותית למוזיקה (פריז)
[[:ערך בנזף]] (de)	ערך בנזף
&rlm;[[:Empire Earth III]]&rlm; (de)	Empire Earth III
&rlm;[[:If I Fell]]&rlm; (it)	If I Fell
[[:רמז לסקנדל]] (ja)	רמז לסקנדל
[[:הקבוע הסולרי]] (en)	הקבוע הסולרי
[[:אנטוניוס]] (id)	אנטוניוס
[[:קונגו הבלגית]] (de)	קונגו הבלגית
[[:אטום המימן]] (de)	אטום המימן
[[:דגל צלב בורגונדיה]] (de)	דגל צלב בורגונדיה
[[:אחרי החגים]] (en)	אחרי החגים
[[:מלון שפרד]] (en)	מלון שפרד
&rlm;[[:טיסה 19]]&rlm; (es)	טיסה 19
[[:קלרה קלאק]] (en)	קלרה קלאק
[[:גורם רזוס]] (nl)	גורם רזוס
[[:אל-קודס]] (pl)	אל-קודס
[[:מצרים העליונה]] (it)	מצרים העליונה
[[:מצרים התחתונה]] (it)	מצרים התחתונה
[[:בן (פירושונים)]] (fi)	בן (פירושונים)
[[:נערת בונד]] (de)	נערת בונד
&rlm;[[:Halo 3: ODST]]&rlm; (de)	Halo 3: ODST
[[:דחיית איבר]] (de)	דחיית איבר
[[:מצרים התיכונה]] (it)	מצרים התיכונה
[[:הסקה מרכזית]] (de)	הסקה מרכזית
&rlm;[[:RJ-11]]&rlm; (fi)	RJ-11
&rlm;[[:RJ-9]]&rlm; (en)	RJ-9
&rlm;[[:RJ-48]]&rlm; (en)	RJ-48
[[:ענן פטרייה]] (de)	ענן פטרייה
[[:ארמון טרם]] (de)	ארמון טרם
[[:חסם צרור הולכה ימני]] (fr)	חסם צרור הולכה ימני
[[:צארסקויה סלו]] (de fi)	צארסקויה סלו
[[:דפדוף (זיכרון)]] (fr)	דפדוף (זיכרון)
[[:הומו גאורגיקוס]] (en)	הומו גאורגיקוס
[[:אראגון (סרט)]] (ja)	אראגון (סרט)
[[:מקדם הספק]] (sv)	מקדם הספק
[[:למידת בריחה]] (en)	למידת בריחה
[[:מחילה (זואולוגיה)]] (de)	מחילה (זואולוגיה)
[[:אלפבית רוסי]] (de)	אלפבית רוסי
[[:מהירות פאזה]] (fr nl)	מהירות פאזה
[[:נוצת מצנפת]] (fr)	נוצת מצנפת
[[:מלכי מזרח אנגליה]] (de)	מלכי מזרח אנגליה
[[:קרב קאנאל דו נור]] (it)	קרב קאנאל דו נור
[[:ספוריה]] (en)	ספוריה
[[:מרשם רופא]] (de)	מרשם רופא
[[:אינטגרציה באמצעות החלפת משתנים]] (es)	אינטגרציה באמצעות החלפת משתנים
[[:בולשביזם]] (cs)	בולשביזם
[[:שווי משקל בייסיאני מושלם]] (en)	שווי משקל בייסיאני מושלם
[[:תא שלוש אלקטרודות]] (en)	תא שלוש אלקטרודות
[[:אלקטרה (נימפה)]] (ja)	אלקטרה (נימפה)
[[:רביע]] (en)	רביע
[[:מוקש נגד אדם]] (ja)	מוקש נגד אדם
[[:המאסטר (דוקטור הו)]] (de)	המאסטר (דוקטור הו)
[[:מבצע מושתראק]] (sv)	מבצע מושתראק
[[:איירלס]] (en)	איירלס
[[:מסנן זכוכית]] (en)	מסנן זכוכית
[[:פוליטיקה של אזרבייג'ן]] (bn)	פוליטיקה של אזרבייג'ן
[[:מרכך שיער]] (de)	מרכך שיער
[[:מרב בת שאול]] (en)	מרב בת שאול
[[:הובלה פעילה]] (de)	הובלה פעילה
[[:חוק הגנת החולה וטיפול בר השגה]] (no)	חוק הגנת החולה וטיפול בר השגה
[[:אלביון הצבועה]] (de)	אלביון הצבועה
[[:פיליפ השלישי]] (de eo)	פיליפ השלישי
[[:קשת סרליאנית]] (en)	קשת סרליאנית
[[:אלתרמן (פירושונים)]] (pt)	אלתרמן (פירושונים)
[[:בית הקברות הצבאי ברוקווד]] (en)	בית הקברות הצבאי ברוקווד
[[:צלילת במה]] (de)	צלילת במה
[[:צ'יף (הרלדיקה)]] (fr)	צ'יף (הרלדיקה)
[[:יום אבל לאומי]] (it)	יום אבל לאומי
[[:קת'ולהו]] (de)	קת'ולהו
[[:אדריכלות אשורית]] (fr)	אדריכלות אשורית
[[:זוג ז'ורדן]] (en)	זוג ז'ורדן
[[:בלקלאווה]] (fi)	בלקלאווה
[[:מייקרופט הולמס]] (de ru)	מייקרופט הולמס
[[:ממירי זרם ישר ממותגים]] (ja)	ממירי זרם ישר ממותגים
[[:שדה המספרים האלגבריים]] (en)	שדה המספרים האלגבריים
[[:נוצר סופית]] (fr)	נוצר סופית
[[:תאורת]] (ca)	תאורת
&rlm;[[:DRAM]]&rlm; (el)	DRAM
[[:מוליך למחצה מאולח]] (es)	מוליך למחצה מאולח
[[:הוצאות משפט]] (fr)	הוצאות משפט
[[:היסטוריה של קוריאה הדרומית]] (pt)	היסטוריה של קוריאה הדרומית
[[:כלכלת איראן]] (de)	כלכלת איראן
[[:שיטת גביע]] (ja)	שיטת גביע
[[:שלום קאטו-קמברזי]] (en)	שלום קאטו-קמברזי
[[:אסף אבידן והמוג'וס]] (en)	אסף אבידן והמוג'וס
[[:נקודת התלקחות]] (sv)	נקודת התלקחות
[[:רדיקל בראון-מקוי]] (en)	רדיקל בראון-מקוי
[[:פרדיננד השלישי]] (eo)	פרדיננד השלישי
[[:אדנואיד]] (it)	אדנואיד
[[:אריה על מיתר סול]] (de)	אריה על מיתר סול
[[:דלקת לבלב כרונית]] (de)	דלקת לבלב כרונית
[[:גרגשי]] (en)	גרגשי
[[:הארי פוטר ואוצרות המוות (סרט)]] (ja)	הארי פוטר ואוצרות המוות (סרט)
[[:סכום ספרות סופי]] (de)	סכום ספרות סופי
[[:שנהבי מגידו]] (en)	שנהבי מגידו
[[:מספר גרהאם]] (pl)	מספר גרהאם
[[:משוואות הקצב של איינשטיין]] (en)	משוואות הקצב של איינשטיין
[[:מניין השנים בלוח העברי]] (en)	מניין השנים בלוח העברי
[[:חוג פשוט למחצה]] (en ru)	חוג פשוט למחצה
[[:תסמונת פאזת השינה הדחויה]] (no)	תסמונת פאזת השינה הדחויה
[[:קרקס קרחוני]] (es)	קרקס קרחוני
[[:יובל (נהר)]] (ja)	יובל (נהר)
[[:הוועידה הימית בוושינגטון]] (de)	הוועידה הימית בוושינגטון
[[:פונקציית גיבוב קריפטוגרפית]] (pl)	פונקציית גיבוב קריפטוגרפית
[[:אלטשולר]] (ru)	אלטשולר
[[:נגירסו]] (fr)	נגירסו
[[:מיקרוסופט טיסה]] (de)	מיקרוסופט טיסה
[[:פרקולטור]] (de)	פרקולטור
[[:מעמד משווני]] (de)	מעמד משווני
[[:תוספות איוורא]] (en)	תוספות איוורא
[[:דמקה סינית]] (de)	דמקה סינית
[[:טיפוס נתונים מופשט]] (sv)	טיפוס נתונים מופשט
[[:עקרון רצף הפאונה]] (de)	עקרון רצף הפאונה
[[:ניו דלהי מטאלו-בטא-לקטמז]] (de)	ניו דלהי מטאלו-בטא-לקטמז
[[:החזר השקעה]] (sv)	החזר השקעה
[[:ישיבת שילה]] (en)	ישיבת שילה
[[:נאו-פשיזם]] (de)	נאו-פשיזם
[[:גרנולוציטופניה]] (en)	גרנולוציטופניה
&rlm;[[:Creepin on ah Come Up]]&rlm; (pt)	Creepin on ah Come Up
[[:תותח נגד טנקים]] (en)	תותח נגד טנקים
[[:מדד הרפינדל-הירשמן]] (it)	מדד הרפינדל-הירשמן
[[:מרוץ מדיסון]] (nl)	מרוץ מדיסון
[[:אגממנון (מחזה)]] (en)	אגממנון (מחזה)
[[:מחלת הכבד השומני שאינה נובעת מצריכת אלכוהול]] (zh)	מחלת הכבד השומני שאינה נובעת מצריכת אלכוהול
[[:מונטנגרו במלחמת העולם הראשונה]] (en)	מונטנגרו במלחמת העולם הראשונה
[[:קלייד]] (fi)	קלייד
[[:חפ"ק]] (en)	חפ"ק
&rlm;[[:אוורגרין 747 סופר-טנקר]]&rlm; (de)	אוורגרין 747 סופר-טנקר
[[:חטיפת מטוס קיש אייר]] (en)	חטיפת מטוס קיש אייר
[[:מוזיקה גרמנית]] (pt)	מוזיקה גרמנית
[[:נערה עם קעקוע דרקון]] (sv)	נערה עם קעקוע דרקון
[[:מקדם תקומה]] (de)	מקדם תקומה
[[:הנערה ששיחקה באש]] (sv)	הנערה ששיחקה באש
[[:הנערה שבעטה בקן הצרעות]] (sv)	הנערה שבעטה בקן הצרעות
[[:חוג הערכה]] (fr)	חוג הערכה
[[:מודל (טקסטיל)]] (de)	מודל (טקסטיל)
[[:תרבות גרמניה]] (de)	תרבות גרמניה
[[:בריסל (מחוז)]] (nn)	בריסל (מחוז)
[[:מדינה ריבונית]] (nn)	מדינה ריבונית
[[:קרב מתחם אורחה]] (en)	קרב מתחם אורחה
[[:חלוקה באפס]] (de)	חלוקה באפס
[[:איירין אדלר]] (ru)	איירין אדלר
[[:הכאה דרך הילוכו]] (pl)	הכאה דרך הילוכו
[[:אקולייזר פרמטרי]] (en)	אקולייזר פרמטרי
[[:הו]] (ca)	הו
[[:אתום]] (ca)	אתום
[[:טושה]] (sv)	טושה
[[:בינה מלאכותית חזקה]] (fr)	בינה מלאכותית חזקה
[[:צוקי סולסברי]] (en)	צוקי סולסברי
[[:דרגות הכוחות המזוינים של ברית המועצות]] (sv)	דרגות הכוחות המזוינים של ברית המועצות
[[:סימבה]] (simple)	סימבה
[[:הטלסקופ הגדול מאוד]] (de)	הטלסקופ הגדול מאוד
[[:חטיפת הנשים הסביניות]] (de)	חטיפת הנשים הסביניות
[[:איירבוס בלוגה]] (de)	איירבוס בלוגה
[[:גל כדורי]] (en)	גל כדורי
[[:היפנותרפיה]] (sv)	היפנותרפיה
[[:הינומה]] (en)	הינומה
[[:קשב חזותי]] (en)	קשב חזותי
[[:חבורת קווטרניונים מוכללת]] (en)	חבורת קווטרניונים מוכללת
[[:יצר המוות]] (fr)	יצר המוות
[[:כאב מתפרץ]] (en)	כאב מתפרץ
[[:אופק (פדולוגיה)]] (es)	אופק (פדולוגיה)
[[:לוח חכם]] (de)	לוח חכם
[[:דאלאמר ארג'נט]] (en)	דאלאמר ארג'נט
[[:משפט הפונקציה ההפוכה]] (de)	משפט הפונקציה ההפוכה
[[:פישון]] (de)	פישון
[[:קווי-גון ג'ין]] (de)	קווי-גון ג'ין
[[:ג'ון סטיוארט (פירושונים)]] (es)	ג'ון סטיוארט (פירושונים)
[[:הטופולוגיה הקו-סופית]] (en)	הטופולוגיה הקו-סופית
[[:תחיית ישו]] (nl)	תחיית ישו
&rlm;[[:Runaway]]&rlm; (fr)	Runaway
[[:שבבית]] (es)	שבבית
[[:סיף אל-ערב קדאפי]] (es)	סיף אל-ערב קדאפי
[[:ויקטור (סרט)]] (en)	ויקטור (סרט)
[[:לאורנה קנן]] (en)	לאורנה קנן
[[:סהר-פז]] (en)	סהר-פז
[[:שפיץ יפני]] (ja)	שפיץ יפני
[[:גובה קונצרט]] (uk)	גובה קונצרט
[[:נישואי קרובים]] (en)	נישואי קרובים
[[:הקרב בסלוקי]] (en)	הקרב בסלוקי
[[:מאם (פיוצ'רמה)]] (ru)	מאם (פיוצ'רמה)
[[:עקרון החיבור]] (fi)	עקרון החיבור
[[:גשמיות]] (en)	גשמיות
[[:שיר הפרטיזנים]] (ru)	שיר הפרטיזנים
[[:מי-נהר]] (en)	מי-נהר
[[:יום הפליטים הבינלאומי]] (de)	יום הפליטים הבינלאומי
[[:פאלין מאז'ר]] (en)	פאלין מאז'ר
[[:חלמיש כור-אש]] (en)	חלמיש כור-אש
[[:חתונת הנסיך ויליאם וקתרין מידלטון]] (simple)	חתונת הנסיך ויליאם וקתרין מידלטון
[[:הגנה (צורת קרב)]] (ja)	הגנה (צורת קרב)
[[:קולר נגד נביחות]] (en)	קולר נגד נביחות
&rlm;[[:ISO 3166-1]]&rlm; (sv)	ISO 3166-1
[[:אוכלוסיית העולם]] (id)	אוכלוסיית העולם
[[:ראש עיריית מוסקבה]] (en)	ראש עיריית מוסקבה
[[:מיץ ענבים]] (en)	מיץ ענבים
[[:הארקנה הקטנה]] (ko)	הארקנה הקטנה
[[:הרפתקה בפוסידון]] (ja)	הרפתקה בפוסידון
[[:המשמר הסקוטי]] (ja)	המשמר הסקוטי
&rlm;[[:פאלקון 4.0]]&rlm; (de)	פאלקון 4.0
[[:אדוני המערכת]] (en)	אדוני המערכת
[[:חגיגות (נוקטורן)]] (fr)	חגיגות (נוקטורן)
[[:שש דרגות של קווין בייקון]] (it)	שש דרגות של קווין בייקון
[[:צבא קבע]] (da)	צבא קבע
[[:חוף יוטה]] (ru)	חוף יוטה
[[:בליה ספרואידית]] (fr)	בליה ספרואידית
[[:באז שנות-אור]] (ko)	באז שנות-אור
&rlm;[[:פלאקפאנצר 4]]&rlm; (de fr)	פלאקפאנצר 4
[[:משפט רושה-קפלי]] (cs)	משפט רושה-קפלי
[[:קן נמלים]] (de)	קן נמלים
[[:דבק מגע]] (en)	דבק מגע
[[:החוק נגד השתתפות בחרם]] (en)	החוק נגד השתתפות בחרם
[[:גונזו (החבובות)]] (de)	גונזו (החבובות)
[[:הטבח השבדי]] (de)	הטבח השבדי
[[:חרוט געשי]] (it)	חרוט געשי
[[:אנחה]] (en)	אנחה
&rlm;[[:טיסה RA-42434 של יאקובלב סרוויס]]&rlm; (simple)	טיסה RA-42434 של יאקובלב סרוויס
[[:משפט זקנדורף]] (de)	משפט זקנדורף
&rlm;[[:Bourne Shell]]&rlm; (de)	Bourne Shell
[[:מרטיני]] (eo)	מרטיני
[[:מנהל אתחול]] (en)	מנהל אתחול
[[:כוס שוט]] (de)	כוס שוט
&rlm;[[:קיבוע פחמן במסלול C4]]&rlm; (fr)	קיבוע פחמן במסלול C4
[[:גאוגרפיה של אוגנדה]] (bn)	גאוגרפיה של אוגנדה
[[:נדוצרטופס]] (en)	נדוצרטופס
[[:פוליטיקה של אנדורה]] (bn)	פוליטיקה של אנדורה
[[:תוכנית מעבורות החלל]] (fi fr)	תוכנית מעבורות החלל
[[:בלקווד (ברידג')]] (ru)	בלקווד (ברידג')
[[:המהפכה המדעית]] (de)	המהפכה המדעית
[[:יין שאטונף-די-פאפ]] (de)	יין שאטונף-די-פאפ
[[:פנטומימה קורנת]] (fr)	פנטומימה קורנת
[[:מודול נאמן]] (en)	מודול נאמן
[[:רזולוציה חופשית]] (en)	רזולוציה חופשית
[[:בוז'ולה נובו]] (de)	בוז'ולה נובו
[[:יין סופר טוסקן]] (en)	יין סופר טוסקן
[[:המזכיר הכללי של המפלגה הקומוניסטית של ברית המועצות]] (no)	המזכיר הכללי של המפלגה הקומוניסטית של ברית המועצות
[[:יער נורווגי (סרט)]] (ja)	יער נורווגי (סרט)
[[:אימפריאליזם מודרני באפריקה]] (en)	אימפריאליזם מודרני באפריקה
[[:משפט פיוצ'רמה]] (en)	משפט פיוצ'רמה
[[:בית (ספר)]] (en)	בית (ספר)
[[:זנו]] (da)	זנו
[[:כדור מים (מתקן)]] (ru)	כדור מים (מתקן)
[[:פרופסור מוריארטי]] (ru)	פרופסור מוריארטי
[[:עמק המומינים]] (ja)	עמק המומינים
[[:משפחת המומינים - חורף קסום]] (ja)	משפחת המומינים - חורף קסום
[[:קבוצות שקולות]] (de)	קבוצות שקולות
[[:מרגוט פרנק]] (fi)	מרגוט פרנק
[[:ארטמיסיה, מלכת קאריה]] (en)	ארטמיסיה, מלכת קאריה
[[:רצח העם בקמבודיה]] (en)	רצח העם בקמבודיה
[[:מתקפת אפס ימים]] (de)	מתקפת אפס ימים
[[:הצתה (פשע)]] (fr)	הצתה (פשע)
[[:גרפותרפיה]] (en)	גרפותרפיה
[[:חלום בתוך חלום]] (de)	חלום בתוך חלום
[[:השוואת מחירים בלתי תלויים]] (en)	השוואת מחירים בלתי תלויים
[[:ברד הקשת]] (pl)	ברד הקשת
[[:שיתוף הוצאות]] (en)	שיתוף הוצאות
&rlm;[[:בלדה מס' 2 בפה מז'ור, אופוס 38]]&rlm; (en)	בלדה מס' 2 בפה מז'ור, אופוס 38
[[:מאזני פיתול]] (en)	מאזני פיתול
[[:פרדוקס מנון]] (en)	פרדוקס מנון
[[:פארק עולם המומינים]] (ja)	פארק עולם המומינים
[[:קובץ מניפסט]] (de)	קובץ מניפסט
[[:משפט האי-שלמות של צ'ייטין]] (en)	משפט האי-שלמות של צ'ייטין
[[:הקברים של אטואן]] (sv)	הקברים של אטואן
[[:משוררי מלחמת העולם הראשונה]] (en)	משוררי מלחמת העולם הראשונה
[[:הרכבת האווירית לברלין]] (en)	הרכבת האווירית לברלין
[[:אובדן הטרוזיגוטיות]] (de)	אובדן הטרוזיגוטיות
[[:מורפיאוס]] (id)	מורפיאוס
&rlm;[[:Desert Bus For Hope]]&rlm; (en)	Desert Bus For Hope
[[:מכלית גז טבעי נוזלי]] (de)	מכלית גז טבעי נוזלי
[[:עוצמתם של קשרים חלשים]] (en)	עוצמתם של קשרים חלשים
[[:רוח פן]] (cs)	רוח פן
[[:טראנס ווקאלי]] (de it)	טראנס ווקאלי
[[:ועידת שפרדסטאון]] (en)	ועידת שפרדסטאון
[[:סטארט החדש]] (de)	סטארט החדש
[[:השנים החסרות]] (yi)	השנים החסרות
[[:מקור שלישוני]] (de)	מקור שלישוני
[[:ממד פרויקטיבי]] (en)	ממד פרויקטיבי
[[:דיסקוגרפיה של פינק]] (sv)	דיסקוגרפיה של פינק
[[:ספוק]] (de)	ספוק
[[:ג'יימס טיבריוס קירק]] (de)	ג'יימס טיבריוס קירק
[[:וולקנים]] (de)	וולקנים
[[:זובונטו]] (de)	זובונטו
[[:הסמכה לכהונה]] (de)	הסמכה לכהונה
&rlm;[[:Civilization V]]&rlm; (de)	Civilization V
[[:כלכלת סאו טומה ופרינסיפה]] (ru)	כלכלת סאו טומה ופרינסיפה
&rlm;[[:In the End]]&rlm; (lt)	In the End
[[:כתובת (זיכרון מחשב)]] (el)	כתובת (זיכרון מחשב)
[[:פלטה (מגן)]] (en)	פלטה (מגן)
[[:סומלילנד הצרפתית]] (de)	סומלילנד הצרפתית
[[:הפצצה אסטרטגית]] (de)	הפצצה אסטרטגית
[[:לוחמה אווירית במלחמת העולם הראשונה]] (de)	לוחמה אווירית במלחמת העולם הראשונה
[[:הליופאוזה]] (en)	הליופאוזה
&rlm;[[:Grand Theft Auto: Episodes from Liberty City]]&rlm; (de)	Grand Theft Auto: Episodes from Liberty City
[[:שלדון קופר]] (de)	שלדון קופר
[[:סטואי גריפין]] (sv)	סטואי גריפין
[[:רפלקס בבקין]] (en)	רפלקס בבקין
[[:מספר פסאודו-ראשוני]] (nl)	מספר פסאודו-ראשוני
[[:איחוי]] (de)	איחוי
[[:קוראים לי סטיבן]] (en)	קוראים לי סטיבן
[[:הפרס הלאומי לספרים יהודיים]] (en)	הפרס הלאומי לספרים יהודיים
[[:סמולן (ברידג')]] (en)	סמולן (ברידג')
[[:מזופיל]] (en)	מזופיל
[[:קתדרלת טין]] (de)	קתדרלת טין
[[:קורינדו אייקידו]] (en)	קורינדו אייקידו
[[:אסטרטגית התנהגות]] (en)	אסטרטגית התנהגות
[[:שבלול (איבר)]] (nl)	שבלול (איבר)
[[:מולארד]] (pt)	מולארד
[[:חשיפה עצמית בטיפול]] (en)	חשיפה עצמית בטיפול
&rlm;[[:L3/35]]&rlm; (de)	L3/35
[[:כף]] (de)	כף
[[:קקורה קירישיטן]] (de es)	קקורה קירישיטן
[[:טייזר]] (pt)	טייזר
&rlm;[[:Piggies]]&rlm; (it)	Piggies
[[:אפו נהספימפטלון]] (de)	אפו נהספימפטלון
[[:בטא (מדד)]] (ja)	בטא (מדד)
[[:אח (בן משפחה)]] (es it)	אח (בן משפחה)
[[:התייעלות אנרגטית]] (es)	התייעלות אנרגטית
&rlm;[[:Counter-Strike Online]]&rlm; (ja)	Counter-Strike Online
&rlm;[[:Day of Defeat: Source]]&rlm; (de)	Day of Defeat: Source
[[:טקס הפתיחה של המשחקים האולימפיים]] (en)	טקס הפתיחה של המשחקים האולימפיים
[[:קנלה]] (de)	קנלה
[[:בני לוריאן - דמויות]] (it)	בני לוריאן - דמויות
[[:בלון מים]] (ja)	בלון מים
[[:אנוקט]] (ca)	אנוקט
[[:קרדאסים]] (de)	קרדאסים
[[:הדומיניון]] (de)	הדומיניון
[[:פונקציית הישרדות]] (fr)	פונקציית הישרדות
[[:תינגול]] (de pl)	תינגול
[[:גילדור]] (es pl)	גילדור
[[:פינרוד]] (pl)	פינרוד
[[:טבעות נפטון]] (nl)	טבעות נפטון
[[:כריס גריפין]] (sv)	כריס גריפין
[[:נחבת]] (ca)	נחבת
[[:אופיום להמונים]] (fr)	אופיום להמונים
[[:קיטבג]] (de)	קיטבג
[[:המרידות באוטו הראשון]] (en)	המרידות באוטו הראשון
&rlm;[[:רנו פלואנס Z.E]]&rlm; (fr)	רנו פלואנס Z.E
[[:אדד-ניררי הראשון]] (sv)	אדד-ניררי הראשון
[[:רצף הקיו]] (ca)	רצף הקיו
[[:סכין יפנית]] (en)	סכין יפנית
[[:הקידמה האמריקאית]] (de)	הקידמה האמריקאית
[[:תקרית יער רנדלשם]] (de)	תקרית יער רנדלשם
[[:הבית של אף אחד]] (en)	הבית של אף אחד
[[:מסך (תיאטרון)]] (de fr)	מסך (תיאטרון)
[[:תוכנית אנקונדה]] (zh)	תוכנית אנקונדה
[[:אדמירל (הצי המלכותי הבריטי)]] (it)	אדמירל (הצי המלכותי הבריטי)
[[:לוגיקה מסדר שני]] (fr)	לוגיקה מסדר שני
&rlm;[[:סאליוט 3]]&rlm; (de)	סאליוט 3
[[:אקסיומת קבוצת החזקה]] (de)	אקסיומת קבוצת החזקה
[[:אקסיומת האיחוד]] (de)	אקסיומת האיחוד
[[:רומולאנים]] (de sv)	רומולאנים
[[:בית בן יהודה]] (en)	בית בן יהודה
[[:בית באראתיאון]] (de en)	בית באראתיאון
[[:מיילס או'בריאן]] (de)	מיילס או'בריאן
[[:וואדג'ת]] (ca)	וואדג'ת
[[:פרמיר]] (de simple)	פרמיר
[[:קיו (מסע בין כוכבים)]] (de)	קיו (מסע בין כוכבים)
[[:וין אדאמי]] (en)	וין אדאמי
[[:מאקי (מסע בין כוכבים)]] (de)	מאקי (מסע בין כוכבים)
[[:מרטאג]] (en fr pl)	מרטאג
&rlm;[[:גירוש צרפת (1182)]]&rlm; (en)	גירוש צרפת (1182)
[[:הולודק]] (de)	הולודק
&rlm;[[:FN PS90]]&rlm; (en)	FN PS90
[[:זאפוד ביבלברוקס]] (bar)	זאפוד ביבלברוקס
[[:ליאונרד מק'קוי]] (de)	ליאונרד מק'קוי
[[:ערך נוכחי נקי]] (nl)	ערך נוכחי נקי
[[:ויליאם רייקר]] (de)	ויליאם רייקר
[[:הסאסי במטרה]] (de hu)	הסאסי במטרה
[[:כריסטין צ'אפל]] (es)	כריסטין צ'אפל
[[:גיס (משפחה)]] (es it sv)	גיס (משפחה)
[[:הלידי כסף]] (de)	הלידי כסף
[[:משפט הסופרפוזיציה]] (de)	משפט הסופרפוזיציה
[[:אין ארוחות חינם]] (fr)	אין ארוחות חינם
[[:מונטגומרי סקוט]] (de)	מונטגומרי סקוט
